"This data table captures the annual data on the CalFresh population for elderly, ages 18-59, children, English as a second language, number of individuals receiving WIC, percentage of individuals on CalFresh who are also receiving WIC, total population for the calendar year, total elderly population of 60 plus, total populations of children under 18, the total number of English as a second language over the age of 5, and total SSI recipients. The data table begins in cell A2. ",,,,,,,,,,,,,,,,
County,FIPS,County Center X,County Center Y,Consortium,Calendar Year,Elderly CalFresh July,Age 18 to 59 CalFresh July,Children CalFresh July,ESL CalFresh July CY,WIC Recipients CalFresh Reachable,Percentage of CalFresh Persons Receiving WIC,Total Population CY,Total Elderly 60Plus CY,Total Children Under 18 CY,Total ESL Over age 5 CY,Total SSI Recipients CY
Colusa,US-06011,-122.4386143,39.169245,C-IV,2016.0,114.0,574.0,811.0,393.0,48.0,0.711297071,22408.0,4434.0,6116.0,2893.0,552.0
Contra Costa,US-06013,-121.717604,37.888418,CalWIN,2016.0,4727.0,30804.0,34519.0,15305.0,3229.0,0.538284619,1129894.0,247789.0,251595.0,74586.0,23841.0
Del Norte,US-06015,-123.719458,41.6908155,C-IV,2016.0,287.0,2881.0,2186.0,189.0,136.0,0.696551724,27040.0,6661.0,5824.0,537.0,1779.0
El Dorado,US-06017,-120.4259625,38.78496,C-IV,2016.0,1149.0,7202.0,4816.0,844.0,258.0,0.568442347,184180.0,51087.0,36645.0,3406.0,2862.0
Fresno,US-06019,-120.862059,36.74633,CalWIN,2016.0,8599.0,102071.0,125061.0,57671.0,5748.0,0.761550075,989183.0,163512.0,279928.0,112485.0,41294.0
Glenn,US-06021,-122.1147288,39.591764,C-IV,2016.0,187.0,1654.0,1972.0,742.0,117.0,0.750793651,29073.0,6207.0,7528.0,2761.0,1081.0
Humboldt,US-06023,-123.959972,40.73356,C-IV,2016.0,1455.0,12589.0,7512.0,908.0,426.0,0.589486356,136086.0,32838.0,27690.0,2230.0,5383.0
Imperial,US-06025,-115.058652,33.02615,C-IV,2016.0,2792.0,19828.0,20597.0,22382.0,812.0,0.634608872,187157.0,32050.0,54372.0,34100.0,9999.0
Inyo,US-06027,-117.7797286,36.626,C-IV,2016.0,174.0,1050.0,853.0,224.0,61.0,0.721649485,18649.0,5699.0,3867.0,451.0,382.0
Kern,US-06029,-118.4426011,35.29441,C-IV,2016.0,6955.0,70514.0,89636.0,37205.0,6086.0,0.741666667,888994.0,136623.0,254735.0,83111.0,30848.0
Kings,US-06031,-119.6135104,36.138775,C-IV,2016.0,988.0,10922.0,12811.0,5807.0,877.0,0.719566289,149407.0,21381.0,45432.0,13525.0,4567.0
Lake,US-06033,-122.9624445,39.124455,C-IV,2016.0,1054.0,6702.0,4898.0,992.0,313.0,0.670349908,65128.0,19175.0,13526.0,2348.0,3660.0
Lassen,US-06035,-120.2636913,40.446085,C-IV,2016.0,168.0,1712.0,1355.0,63.0,90.0,0.635983264,30645.0,6887.0,5308.0,633.0,881.0
Los Angeles,US-06037,-117.9879672,34.26394,LRS,2016.0,65695.0,489436.0,521779.0,391688.0,51194.0,0.747201878,10229245.0,1915495.0,2304521.0,1343973.0,381016.0
Madera,US-06039,-119.84174,37.27052,C-IV,2016.0,985.0,10929.0,17426.0,9932.0,975.0,0.737387942,155693.0,29376.0,42383.0,19819.0,4480.0
Marin,US-06041,-122.870429,38.068145,C-IV,2016.0,1268.0,4468.0,4745.0,4064.0,295.0,0.578982155,263257.0,76036.0,52612.0,10590.0,2796.0
Mariposa,US-06043,-119.6495595,37.543615,C-IV,2016.0,215.0,1133.0,698.0,41.0,42.0,0.669724771,18055.0,6483.0,2887.0,193.0,427.0
Mendocino,US-06045,-123.5709822,39.380655,C-IV,2016.0,928.0,6566.0,5237.0,1689.0,333.0,0.567476002,88995.0,24819.0,19104.0,4384.0,3066.0
Merced,US-06047,-120.1246993,37.18687,C-IV,2016.0,2309.0,23839.0,31177.0,14791.0,1760.0,0.723367169,272610.0,41701.0,79762.0,32600.0,10667.0
Modoc,US-06049,-120.1993372,41.590546,C-IV,2016.0,46.0,579.0,499.0,48.0,15.0,0.602649007,9469.0,3096.0,1807.0,256.0,404.0
Mono,US-06051,-118.7402371,38.0878955,C-IV,2016.0,65.0,404.0,357.0,194.0,15.0,0.537037037,13785.0,2795.0,2848.0,1013.0,101.0
Monterey,US-06053,-120.9044897,36.35433,C-IV,2016.0,2774.0,16209.0,29652.0,22216.0,1244.0,0.713618214,441129.0,80555.0,114101.0,82997.0,8101.0
Napa,US-06055,-122.5128064,38.509635,C-IV,2016.0,561.0,2946.0,3968.0,2829.0,201.0,0.656349206,142269.0,34640.0,29835.0,11745.0,2034.0
Nevada,US-06057,-120.3163119,39.266135,C-IV,2016.0,778.0,4419.0,2695.0,225.0,169.0,0.489749431,98552.0,33995.0,16434.0,1305.0,1824.0
Orange,US-06059,-117.8002615,33.66707,CalWIN,2016.0,20825.0,101850.0,136659.0,113097.0,7350.0,0.681085847,3181371.0,627423.0,726521.0,309974.0,67977.0
