"This data table captures Program Reach Index data. It provides data on CalFresh eligible individuals, the estimate frequency, and the PRI percentage. The table begins in cell A2. ",,,,,,,,,
County,FIPS,County Center X,County Center Y,Consortium,Calendar Year,CalFresh Eligibles CY,PRI Estimate Frequency,5 Year Estimate,PRI
San Diego,US-06073,-116.693716,33.019645,CalWIN,2015.0,508224.43483,Annual Est.,,0.572921096
San Francisco,US-06075,-122.4847727,37.759845,CalWIN,2015.0,102650.873581,Annual Est.,,0.506983021
San Joaquin,US-06077,-120.9449271,37.889845,C-IV,2015.0,131235.169862,Annual Est.,,0.924550816
San Luis Obispo,US-06079,-120.1080592,35.34633,CalWIN,2015.0,45501.5276271,Annual Est.,,0.408729867
San Mateo,US-06081,-122.2406398,37.407705,CalWIN,2015.0,71863.8390266,Annual Est.,,0.442539444
Santa Barbara,US-06083,-120.0351675,34.743715,CalWIN,2015.0,73516.8546892,Annual Est.,,0.507503803
Santa Clara,US-06085,-121.6161794,37.18939,CalWIN,2015.0,160882.030417,Annual Est.,,0.688549034
Santa Cruz,US-06087,-122.0401593,37.06834,CalWIN,2015.0,44874.5165104,Annual Est.,,0.57953642
Shasta,US-06089,-122.0883555,40.735175,C-IV,2015.0,36163.9170925,Annual Est.,,0.693006603
Sierra,US-06091,-120.0617973,39.58418,C-IV,2015.0,517.509346044,5-yr. Est.,2011-2015,0.603853829
Siskiyou,US-06093,-122.5559892,41.5008525,C-IV,2015.0,11426.9597505,5-yr. Est.,2011-2015,0.617231835
Solano,US-06095,-121.6688337,38.2894915,CalWIN,2015.0,65104.9913938,Annual Est.,,0.67496233
Sonoma,US-06097,-122.7518161,38.481733,CalWIN,2015.0,58010.0909808,Annual Est.,,0.619955357
Stanislaus,US-06099,-120.8981857,37.606095,C-IV,2015.0,105439.647077,Annual Est.,,0.874224442
Sutter,US-06101,-121.714735,39.02038,C-IV,2015.0,22251.1858904,Annual Est.,,0.591987175
Tehama,US-06103,-122.6595518,40.125305,C-IV,2015.0,14981.7999138,5-yr. Est.,2011-2015,0.695549493
Trinity,US-06105,-123.5069171,40.672495,C-IV,2015.0,3244.67501677,5-yr. Est.,2011-2015,0.564694458
Tulare,US-06107,-119.0889841,36.266965,CalWIN,2015.0,136612.711474,Annual Est.,,0.913355099
Tuolumne,US-06109,-120.0954221,38.03354,C-IV,2015.0,9026.37502283,5-yr. Est.,2011-2015,0.618871546
Ventura,US-06111,-119.0838699,34.47326,CalWIN,2015.0,91148.7715603,Annual Est.,,0.831095494
