"This data table captures quarterly churn data on the percentage of reapplications in 30 days, 90 days, and the percentage of scheduled recertifications for 30 days, and 90 days. The data table begins in cell A2. ",,,,,,,,,,
County,FIPS,County Center X,County Center Y,Consortium,Calendar Year,Quarter,30 Day Churn Pct of Reapplications,90 Day Churn Pct of Reapplications,30 Day Percentage of Scheduled Recertifications,90 Day Percentage of Scheduled Recertifications
Siskiyou,US-06093,-122.5559892,41.5008525,C-IV,2014.0,Q2,0.1199,0.1811,0.2374,0.253
Solano,US-06095,-121.6688337,38.2894915,CalWIN,2014.0,Q2,0.0177,0.1135,0.0094,0.059
Sonoma,US-06097,-122.7518161,38.481733,CalWIN,2014.0,Q2,0.1054,0.1893,0.0539,0.1006
Stanislaus,US-06099,-120.8981857,37.606095,C-IV,2014.0,Q2,0.1601,0.2511,0.3214,0.3599
Sutter,US-06101,-121.714735,39.02038,C-IV,2014.0,Q2,0.1496,0.2115,0.2084,0.229
Tehama,US-06103,-122.6595518,40.125305,C-IV,2014.0,Q2,0.1133,0.1712,0.103,0.1101
Trinity,US-06105,-123.5069171,40.672495,C-IV,2014.0,Q2,0.0442,0.0924,0.0482,0.0522
Tulare,US-06107,-119.0889841,36.266965,CalWIN,2014.0,Q2,0.1676,0.272,0.1313,0.186
Tuolumne,US-06109,-120.0954221,38.03354,C-IV,2014.0,Q2,0.1225,0.2037,0.241,0.2583
Ventura,US-06111,-119.0838699,34.47326,CalWIN,2014.0,Q2,0.1179,0.2176,0.083,0.1323
Yolo,US-06113,-121.9008022,38.619495,CalWIN,2014.0,Q2,0.1201,0.2018,0.0608,0.109
Yuba,US-06115,-121.499162,39.278915,C-IV,2014.0,Q2,0.1671,0.2361,0.4056,0.4286
Statewide,,,,,2014.0,Q3,0.1255,0.2024,0.114079825,0.145140577
Alameda,US-06001,-121.7871814,37.680185,CalWIN,2014.0,Q3,0.1232,0.2117,0.069137859,0.12845838
Alpine,US-06003,-120.0354892,38.6301005,C-IV,2014.0,Q3,0.08,0.16,0.04,0.04
Amador,US-06005,-120.238969,38.46328,C-IV,2014.0,Q3,0.1617,0.2298,0.253191489,0.285106383
Butte,US-06007,-121.5660076,39.723785,C-IV,2014.0,Q3,0.1359,0.2085,0.280624588,0.304376512
Calaveras,US-06009,-120.6039732,38.1711345,C-IV,2014.0,Q3,0.0976,0.1816,0.159891599,0.188346883
Colusa,US-06011,-122.4386143,39.169245,C-IV,2014.0,Q3,0.0783,0.1521,0.368663594,0.410138249
Contra Costa,US-06013,-121.717604,37.888418,CalWIN,2014.0,Q3,0.087,0.1571,0.063217807,0.103770708
Del Norte,US-06015,-123.719458,41.6908155,C-IV,2014.0,Q3,0.1931,0.2541,0.306930693,0.333333333
El Dorado,US-06017,-120.4259625,38.78496,C-IV,2014.0,Q3,0.1119,0.19,0.208095238,0.243809524
Fresno,US-06019,-120.862059,36.74633,CalWIN,2014.0,Q3,0.1488,0.2452,0.097444175,0.162873285
Glenn,US-06021,-122.1147288,39.591764,C-IV,2014.0,Q3,0.1007,0.1756,0.161592506,0.177985948
Humboldt,US-06023,-123.959972,40.73356,C-IV,2014.0,Q3,0.0993,0.1512,0.202326901,0.220204313
