"This data table captures the point in time count for Medi-Cal persons, CalFresh persons, and dual enrollment  for Medi-Cal and CalFresh persons. The data table begins in cell A2. ",,,,,,,,,,,,
County,FIPS,County Center X,County Center Y,Consortium,Month,Date,Calendar Year,Federal Fiscal Year,State Fiscal Year,MEDS MediCal Persons,MEDS CalFresh Persons,Dual Enroll Persons in Medi-Cal and CalFresh
Fresno,US-06019,-120.862059,36.74633,CalWIN,October,41913.0,2014.0,2015.0,2014/15,445511.0,233312.0,214044.0
Glenn,US-06021,-122.1147288,39.591764,C-IV,October,41913.0,2014.0,2015.0,2014/15,11192.0,3682.0,3524.0
Humboldt,US-06023,-123.959972,40.73356,C-IV,October,41913.0,2014.0,2015.0,2014/15,46359.0,20240.0,18352.0
Imperial,US-06025,-115.058652,33.02615,C-IV,October,41913.0,2014.0,2015.0,2014/15,85364.0,42951.0,40485.0
Inyo,US-06027,-117.7797286,36.626,C-IV,October,41913.0,2014.0,2015.0,2014/15,5585.0,2120.0,1958.0
Kern,US-06029,-118.4426011,35.29441,C-IV,October,41913.0,2014.0,2015.0,2014/15,356099.0,150925.0,140593.0
Kings,US-06031,-119.6135104,36.138775,C-IV,October,41913.0,2014.0,2015.0,2014/15,52338.0,23938.0,22554.0
Lake,US-06033,-122.9624445,39.124455,C-IV,October,41913.0,2014.0,2015.0,2014/15,28176.0,11540.0,10895.0
Lassen,US-06035,-120.2636913,40.446085,C-IV,October,41913.0,2014.0,2015.0,2014/15,7235.0,3254.0,3045.0
Los Angeles,US-06037,-117.9879672,34.26394,LRS,October,41913.0,2014.0,2015.0,2014/15,3614038.0,1198339.0,1013613.0
Madera,US-06039,-119.84174,37.27052,C-IV,October,41913.0,2014.0,2015.0,2014/15,65849.0,29001.0,27749.0
Marin,US-06041,-122.870429,38.068145,C-IV,October,41913.0,2014.0,2015.0,2014/15,40476.0,10781.0,10188.0
Mariposa,US-06043,-119.6495595,37.543615,C-IV,October,41913.0,2014.0,2015.0,2014/15,4635.0,2021.0,1933.0
Mendocino,US-06045,-123.5709822,39.380655,C-IV,October,41913.0,2014.0,2015.0,2014/15,37545.0,13845.0,12661.0
Merced,US-06047,-120.1246993,37.18687,C-IV,October,41913.0,2014.0,2015.0,2014/15,127981.0,58024.0,55664.0
