county,black_pa,black_na,black_tot,hispanic_pa,hispanic_na,hispanic_tot,asian_pac_islander_pa,asian_pac_islander_na,asian_pac_islander_tot,am_indian_alaskan_nat_pa,am_indian_alaskan_nat_na,am_indian_alaskan_nat_tot,white_pa,white_na,white_tot,filipino_pa,filipino_na,filipino_tot,other_pa,other_na,other_tot,total_pa,total_na,total_tot,chinese_pa,chinese_na,chinese_tot,cambodian_pa,cambodian_na,cambodian_tot,japanese_pa,japanese_na,japanese_tot,korean_pa,korean_na,korean_tot,samoan_pa,samoan_na,samoan_tot,asian_indian_pa,asian_indian_na,asian_indian_tot,hawaiian_pa,hawaiian_na,hawaiian_tot,guamanian_pa,guamanian_na,guamanian_tot,laotian_pa,laotian_na,laotian_tot,vietnamese_pa,vietnamese_na,vietnamese_tot,asian_pac_islander_other_pa,asian_pac_islander_other_na,asian_pac_islander_other_tot,asian_pac_islander_total_pa,asian_pac_islander_total_na,asian_pac_islander_total_tot,year,month,quarter,fulldate
Sacramento,49,74,123,25,39,64,28,40,68,1,2.0,3,69,106,175,1,2,3,0,0,0,173,263,436,3,4,7,4,6,10,0,0,0,0,0,0,0,1,1,1,1,2,0,0,0,0,0,0,3,4,7,7,10,17,10,14,24,28,40.0,68,2002,JUL,3.0,2002-07-01
San Benito,0,0,0,0,7,7,0,0,0,0,0.0,0,0,1,1,0,1,1,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2002,JUL,3.0,2002-07-01
San Bernardino,1,5,6,11,180,191,7,68,75,0,1.0,1,3,19,22,0,33,33,0,0,0,22,306,328,1,8,9,0,5,5,0,0,0,0,2,2,0,2,2,0,7,7,0,0,0,0,0,0,0,1,1,6,43,49,0,0,0,7,68.0,75,2002,JUL,3.0,2002-07-01
San Diego,6,71,77,11,133,144,3,32,35,0,3.0,3,14,168,182,1,11,12,0,0,0,35,418,453,0,2,2,1,6,7,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,1,1,0,1,1,2,17,19,0,2,2,3,32.0,35,2002,JUL,3.0,2002-07-01
San Francisco,21,413,434,7,142,149,13,174,187,0,15.0,15,5,308,313,1,31,32,0,0,0,47,1083,1130,6,129,135,1,4,5,0,2,2,0,4,4,1,5,6,0,3,3,0,0,0,0,0,0,0,1,1,4,19,23,1,7,8,13,174.0,187,2002,JUL,3.0,2002-07-01
San Joaquin,0,1,1,1,23,24,2,34,36,0,1.0,1,0,4,4,0,12,12,0,0,0,3,75,78,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,2,8,10,0,13,13,0,0,0,2,34.0,36,2002,JUL,3.0,2002-07-01
San Luis Obispo,0,0,0,0,5,5,0,0,0,0,0.0,0,0,2,2,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2002,JUL,3.0,2002-07-01
San Mateo,1,8,9,1,14,15,1,2,3,0,0.0,0,0,12,12,0,1,1,0,0,0,3,37,40,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,2.0,3,2002,JUL,3.0,2002-07-01
Santa Barbara,1,1,2,8,18,26,0,0,0,0,0.0,0,3,11,14,0,0,0,0,0,0,12,30,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2002,JUL,3.0,2002-07-01
Santa Clara,2,53,55,10,310,320,5,230,235,0,5.0,5,3,133,136,0,20,20,0,0,0,20,751,771,0,19,19,1,13,14,0,0,0,0,3,3,0,2,2,0,7,7,0,1,1,0,1,1,0,1,1,4,179,183,0,4,4,5,230.0,235,2002,JUL,3.0,2002-07-01
Santa Cruz,0,0,0,0,10,10,0,0,0,0,0.0,0,1,0,1,0,0,0,0,0,0,1,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2002,JUL,3.0,2002-07-01
Shasta,0,0,0,0,3,3,0,5,5,0,0.0,0,0,2,2,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1,1,0,1,1,0,5.0,5,2002,JUL,3.0,2002-07-01
Sierra,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2002,JUL,3.0,2002-07-01
Siskiyou,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2002,JUL,3.0,2002-07-01
Solano,1,12,13,0,6,6,0,1,1,0,0.0,0,1,14,15,0,3,3,0,0,0,2,36,38,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,2002,JUL,3.0,2002-07-01
Sonoma,0,2,2,1,19,20,0,0,0,0,0.0,0,0,8,8,0,0,0,0,0,0,1,29,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2002,JUL,3.0,2002-07-01
Stanislaus,0,0,0,1,21,22,5,12,17,0,0.0,0,1,7,8,0,0,0,0,0,0,7,40,47,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,2,4,2,2,4,1,3,4,5,12.0,17,2002,JUL,3.0,2002-07-01
Sutter,0,0,0,0,3,3,0,0,0,0,0.0,0,0,3,3,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2002,JUL,3.0,2002-07-01
Tehama,0,0,0,0,7,7,0,0,0,0,0.0,0,0,1,1,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2002,JUL,3.0,2002-07-01
Trinity,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2002,JUL,3.0,2002-07-01
Tulare,0,0,0,4,69,73,1,8,9,0,0.0,0,0,6,6,0,5,5,1,1,2,6,89,95,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,1,8.0,9,2002,JUL,3.0,2002-07-01
Tuolumne,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2002,JUL,3.0,2002-07-01
Ventura,0,1,1,16,97,113,2,15,17,0,0.0,0,12,13,25,1,26,27,0,0,0,31,152,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,6,7,1,8,9,2,15.0,17,2002,JUL,3.0,2002-07-01
Yolo,0,0,0,4,6,10,6,6,12,0,0.0,0,7,4,11,0,0,0,1,1,2,18,17,35,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,2,2,0,2,2,0,2,2,6,6.0,12,2002,JUL,3.0,2002-07-01
Yuba,0,0,0,0,3,3,0,6,6,0,0.0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,6.0,6,2002,JUL,3.0,2002-07-01
