,PART A.  PARTICIPATION DURING THE MONTH,,,,,,,,,PART A.  PARTICIPATION DURING THE MONTH ,,,,,,,,,PART A.  PARTICIPATION,,,PART B.  ISSUANCES DURING THE MONTH,,,,,,PART C.  VALUE OF BENEFIT ISSUANCES DURING THE MONTH,,,CDSS Use Only:
,Number of Households,,,,,,,,,Number of persons in federal only households,,,Number of federal and state persons in federal/state households,,,,,,Number of persons in state only households,,,,,,,,,,,,1227351818.0
,A.  Public Assistance,,,B.  Non-Public Assistance,,,Total,,,,,,A. Public Assistance,,B. Non-Public Assistance,,Total,,,,,,,,,,,,,,
,,,,,,,,,,A.,B.,,,,,,,,A.,B.,,,Contracted,Other,,,EBT,,,,
,,Federal/,,,Federal/,,,Federal/,,Public,Non-Public,,,,,,,,Public,Non-Public,Total,,Over the,Over the,EBT,,Converted,Federal,State,TOTAL,
,Federal,State,State,Federal,State,State,Federal,State,State,Assistance,Assistance,Total,Federal,State,Federal,State,Federal,State,Assistance,Assistance,,Mail,Counter,Counter,Issuances,Total,to Coupons,Only,Only,ISSUANCES,
Sonoma,1521.0,33.0,2.0,17469.0,241.0,55.0,18990.0,274.0,57.0,3625.0,29548.0,33173.0,84.0,38.0,577.0,265.0,661.0,303.0,2.0,67.0,69.0,0.0,0.0,0.0,22090.0,22090.0,0.0,4581032.0,35529.0,4616561.0,
Stanislaus,5640.0,35.0,0.0,36280.0,175.0,37.0,41920.0,210.0,37.0,14547.0,72904.0,87451.0,99.0,41.0,486.0,200.0,585.0,241.0,0.0,47.0,47.0,0.0,0.0,0.0,43727.0,43727.0,0.0,11925465.0,27004.0,11952469.0,
Sutter,713.0,19.0,0.0,5009.0,51.0,13.0,5722.0,70.0,13.0,2028.0,10973.0,13001.0,46.0,21.0,140.0,63.0,186.0,84.0,0.0,15.0,15.0,0.0,0.0,0.0,6058.0,6058.0,0.0,1738628.0,9082.0,1747710.0,
Tehama,542.0,0.0,0.0,4034.0,31.0,3.0,4576.0,31.0,3.0,1421.0,8484.0,9905.0,0.0,0.0,97.0,45.0,97.0,45.0,0.0,3.0,3.0,0.0,0.0,0.0,4875.0,4875.0,0.0,1289052.0,5981.0,1295033.0,
Trinity,67.0,0.0,0.0,927.0,0.0,0.0,994.0,0.0,0.0,172.0,1581.0,1753.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1063.0,1063.0,0.0,250419.0,0.0,250419.0,
Tulare,7741.0,62.0,4.0,43454.0,805.0,207.0,51195.0,867.0,211.0,21080.0,97213.0,118293.0,154.0,69.0,2253.0,899.0,2407.0,968.0,7.0,256.0,263.0,0.0,0.0,0.0,60636.0,60636.0,0.0,16301755.0,136438.0,16438193.0,
Tuolumne,292.0,1.0,0.0,2843.0,8.0,3.0,3135.0,9.0,3.0,728.0,4673.0,5401.0,5.0,1.0,17.0,10.0,22.0,11.0,0.0,5.0,5.0,0.0,0.0,0.0,3289.0,3289.0,0.0,730568.0,1726.0,732294.0,
Ventura,2889.0,23.0,0.0,34100.0,354.0,188.0,36989.0,377.0,188.0,7468.0,66118.0,73586.0,50.0,34.0,857.0,375.0,907.0,409.0,0.0,241.0,241.0,0.0,0.0,0.0,43175.0,43175.0,0.0,10137229.0,123254.0,10260483.0,
Yolo,930.0,45.0,1.0,9604.0,168.0,61.0,10534.0,213.0,62.0,2378.0,17753.0,20131.0,115.0,73.0,436.0,230.0,551.0,303.0,1.0,85.0,86.0,0.0,0.0,0.0,12555.0,12555.0,0.0,2803423.0,49502.0,2852925.0,
Yuba,782.0,5.0,0.0,5333.0,29.0,6.0,6115.0,34.0,6.0,2072.0,11030.0,13102.0,10.0,6.0,90.0,41.0,100.0,47.0,0.0,6.0,6.0,0.0,0.0,0.0,6459.0,6459.0,0.0,1802963.0,4966.0,1807929.0,
