county,req_exped_service_pend_prev_qtr,req_exped_service_reported_pending_end_prev_qtr,req_exped_service_adjustment,req_exped_service_rcv_this_qtr,req_exped_service_tot_this_qtr,req_exped_service_tot_pacf_disposed_this_qtr,req_exped_service_tot_disposed_pacf_entitled_to_exped_service,req_exped_service_disposed_entitled_pacf_1_to_3_days,req_exped_service_disposed_entitled_pacf_4_to_7_days,req_exped_service_pacf_4_to_7_days_client_delay,req_exped_service_pacf_4_to_7_days_county_delay,req_exped_service_disposed_entitled_pacf_over_7_days,req_exped_service_pacf_over_7_days_client_delay,req_exped_service_pacf_over_7_days_county_delay,req_exped_service_tot_nacf_disposed_this_qtr,req_exped_service_tot_disposed_nacf_entitled_to_exped_service,req_exped_service_disposed_entitled_nacf_1_to_3_days,req_exped_service_disposed_entitled_nacf_4_to_7_days,req_exped_service_nacf_4_to_7_days_client_delay,req_exped_service_nacf_4_to_7_days_county_delay,req_exped_service_disposed_entitled_nacf_over_7_days,req_exped_service_nacf_over_7_days_client_delay,req_exped_service_nacf_over_7_days_county_delay,req_exped_service_tot_disposed_this_qtr,req_exped_service_tot_disposed_entitled_to_exped_service,req_exped_service_disposed_entitled_tot_1_to_3_days,req_exped_service_disposed_entitled_tot_4_to_7_days,req_exped_service_tot_4_to_7_days_client_delay,req_exped_service_tot_4_to_7_days_county_delay,req_exped_service_disposed_entitled_tot_over_7_days,req_exped_service_tot_over_7_days_client_delay,req_exped_service_tot_over_7_days_county_delay,req_exped_service_disposed_pacf_not_entitled,req_exped_service_disposed_nacf_not_entitled,req_exped_service_disposed_tot_not_entitled,req_exped_service_disposed_pending_end_qtr,app_compliance_info_pacf_fail_complete_app_process,app_compliance_info_nacf_fail_complete_app_process,app_compliance_info_tot_hh_fail_complete_app_process,year,month,quarter,fulldate
San Luis Obispo,270.0,270.0,0.0,948.0,1218.0,33.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,910.0,514.0,502.0,9.0,0.0,9.0,3.0,0.0,3.0,943.0,535.0,523.0,9.0,0.0,9.0,3.0,0.0,3.0,12.0,396.0,408.0,275.0,0.0,1.0,1.0,2016,APR,2.0,2016-04-01
San Mateo,2511.0,2511.0,0.0,3838.0,6349.0,53.0,25.0,19.0,4.0,0.0,4.0,2.0,0.0,2.0,3727.0,953.0,847.0,62.0,0.0,62.0,44.0,0.0,44.0,3780.0,978.0,866.0,66.0,0.0,66.0,46.0,0.0,46.0,28.0,2774.0,2802.0,2569.0,0.0,22.0,22.0,2016,APR,2.0,2016-04-01
Santa Barbara,31.0,20.0,11.0,1545.0,1576.0,45.0,35.0,32.0,3.0,1.0,2.0,0.0,0.0,0.0,1499.0,782.0,729.0,53.0,27.0,26.0,0.0,0.0,0.0,1544.0,817.0,761.0,56.0,28.0,28.0,0.0,0.0,0.0,10.0,717.0,727.0,32.0,0.0,9.0,9.0,2016,APR,2.0,2016-04-01
Santa Clara,605.0,602.0,3.0,4767.0,5372.0,109.0,28.0,26.0,2.0,0.0,2.0,0.0,0.0,0.0,4686.0,1338.0,1324.0,8.0,0.0,8.0,6.0,0.0,6.0,4795.0,1366.0,1350.0,10.0,0.0,10.0,6.0,0.0,6.0,81.0,3348.0,3429.0,577.0,0.0,2.0,2.0,2016,APR,2.0,2016-04-01
Santa Cruz,346.0,346.0,0.0,1790.0,2136.0,29.0,15.0,14.0,1.0,1.0,0.0,0.0,0.0,0.0,1772.0,553.0,538.0,6.0,6.0,0.0,9.0,9.0,0.0,1801.0,568.0,552.0,7.0,7.0,0.0,9.0,9.0,0.0,14.0,1219.0,1233.0,335.0,0.0,7.0,7.0,2016,APR,2.0,2016-04-01
Shasta,288.0,293.0,-5.0,3223.0,3511.0,72.0,42.0,40.0,1.0,1.0,0.0,1.0,0.0,1.0,3034.0,1281.0,1257.0,13.0,4.0,9.0,11.0,6.0,5.0,3106.0,1323.0,1297.0,14.0,5.0,9.0,12.0,6.0,6.0,30.0,1753.0,1783.0,405.0,0.0,7.0,7.0,2016,APR,2.0,2016-04-01
Sierra,3.0,3.0,0.0,26.0,29.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,10.0,3.0,0.0,0.0,0.0,2016,APR,2.0,2016-04-01
Siskiyou,132.0,138.0,-6.0,685.0,817.0,16.0,5.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,656.0,230.0,203.0,9.0,3.0,6.0,18.0,5.0,13.0,672.0,235.0,207.0,10.0,4.0,6.0,18.0,5.0,13.0,11.0,426.0,437.0,145.0,0.0,3.0,3.0,2016,APR,2.0,2016-04-01
Solano,42.0,17.0,25.0,2274.0,2316.0,45.0,31.0,29.0,2.0,0.0,2.0,0.0,0.0,0.0,2227.0,1166.0,1138.0,20.0,0.0,20.0,8.0,0.0,8.0,2272.0,1197.0,1167.0,22.0,0.0,22.0,8.0,0.0,8.0,14.0,1061.0,1075.0,44.0,0.0,14.0,14.0,2016,APR,2.0,2016-04-01
Sonoma,276.0,295.0,-19.0,3782.0,4058.0,28.0,16.0,14.0,1.0,0.0,1.0,1.0,0.0,1.0,3899.0,1010.0,588.0,202.0,0.0,202.0,220.0,0.0,220.0,3927.0,1026.0,602.0,203.0,0.0,203.0,221.0,0.0,221.0,12.0,2889.0,2901.0,131.0,0.0,46.0,46.0,2016,APR,2.0,2016-04-01
