The Sort & Filter Function allows for filtering data ,,,,,,,,,,,,,,,,,,,,
Data Sources:,,,,DFA 256,DFA 256,DFA 256,DFA 256,MEDS (July data access),MEDS (July data access),MEDS (July data access),MEDS (July data access),CDPH & MEDS; March data access,CDPH & MEDS; March data access,CA Dept. of Finance annual projection,CA Dept. of Finance annual projection,CA Dept. of Finance annual projection,US Census Bureau ACS annual estimate,State Data Exchange annual projection,"EDD, Labor Market Info annual estimate","US Census Bureau ACS Estimates, DFA 256, MEDS"
,,,,,,,,,,,,,,,,,,,,
County,Consortium,Calendar_Year,SFY,CF_Households_SFY_Avg,CF_Households_CY_Avg,CF_Persons_SFY_Avg,CF_Persons_CY_Avg,Elderly_CF_July,Children_CF_July,Child_Only_HHs_CF_July_CY,ESL_CF_July_CY,WIC_0-4_CF_Reachable,Percent_CF_0-4_in_WIC,Total_Pop_CY,Total_Elderly_60_plus_CY,Total_Children_under_18_CY,Total_ESL_over_5_CY,Total_SSI_Recipients_CY,Unemployment_Pct_CY,CF_Eligibles_CY
07 Contra Costa,CalWIN,2014,2014/15,35450.41667,35192.25,73468.25,73883.5,3876,36150,5317,16078,0,0,1102941,226850,253077,68215,24288,0.062,129295.0124
08 Del Norte,C-IV,2014,2014/15,2503.5,2526.75,5167.333333,5196.166667,238,2130,139,223,0,0,27235,6214,5853,725,1816,0.102,5678.398909
09 El Dorado,C-IV,2014,2014/15,7135.416667,6840.5,12917.66667,12445.58333,972,4740,396,886,0,0,182547,47296,37694,3522,2851,0.07,27235.39067
10 Fresno,CalWIN,2014,2014/15,96153.75,95691.08333,226513.4167,226953.1667,7362,122849,13450,60875,0,0,969410,152453,278353,109792,41053,0.116,281485.6439
11 Glenn,C-IV,2014,2014/15,1504,1499.25,3637.333333,3655.916667,148,1960,215,762,0,0,28828,5854,7616,2410,1111,0.107,6547.321475
12 Humboldt,C-IV,2014,2014/15,11405.75,10376,20167.41667,18791.33333,1117,7428,644,900,0,0,134730,30815,27489,2266,5545,0.068,33221.69739
13 Imperial,C-IV,2014,2014/15,16647,15857.41667,41929.08333,40122.83333,2213,19838,990,21381,0,0,183179,29728,53679,33803,10238,0.236,44825.9023
14 Inyo,C-IV,2014,2014/15,1046.333333,1062.083333,2085.083333,2138,154,928,98,296,0,0,18626,5425,3891,510,402,0.07,2967.70218
15 Kern,C-IV,2014,2014/15,63951.83333,61676.41667,151878.5833,147974.1667,5081,82576,9808,37076,0,0,876668,127006,254635,79181,31592,0.104,225536.4475
16 Kings,C-IV,2014,2014/15,10334.83333,10170.66667,24168.33333,23966.33333,797,12521,1267,5713,0,0,149433,20063,44777,15306,4635,0.121,38859.03515
17 Lake,C-IV,2014,2014/15,5872.833333,5504.166667,11557.33333,11014.5,736,4622,344,817,0,0,65191,18389,13546,1951,3663,0.089,17435.21142
18 Lassen,C-IV,2014,2014/15,1549.416667,1542,3190.916667,3188.666667,150,1345,108,71,0,0,31841,6465,5544,712,880,0.093,4056.23815
19 Los Angeles,LRS,2014,2014/15,586301.75,581170.1667,1186841.583,1185610.167,59648,614546,109736,444589,0,0,10124684,1771668,2332873,1394350,389765,0.083,2032449.545
20 Madera,C-IV,2014,2014/15,11809.33333,11523.83333,29290,28835.08333,799,16999,2654,10033,0,0,154181,27787,42541,20778,4505,0.11,38902.72256
